,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
4432,1944.00.00.c,Some time between Apr & Nov-1944,1944,SOUTH PACIFIC OCEAN,,,M,,Y
4433,1944.00.00.b,1944,1944,ITALY,,,M,,Y
4434,1944.00.00.a,1944,1944,PAPUA NEW GUINEA,,,M,,Y
4435,1943.12.12,12-Dec-43,1943,SOUTH AFRICA,"Inyoni Rocks, Amazimtoti ",Standing/Wading/Walking,M,17,Y
4436,1943.12.04,04-Dec-43,1943,USA,Off Charleston,,M,,Y
4437,1943.11.21,21-Nov-43,1943,SOUTH AFRICA,Kei River Mouth,,M,,N
4438,1943.11.11,11-Nov-43,1943,PACIFIC OCEAN,22º08'S  : 178º06'W,,M,,Y
4439,1943.10.26,26-Oct-43,1943,USA,Victim was on said to be on tanker that collided off Florida coast on 10-20-1943,,M,,N
4440,1943.09.23,23-Sep-43,1943,PANAMA,"North shore of Rey Island, Las Perlas archipelago",,M,20,Y
4441,1943.08.00,Aug-43,1943,ITALY,Tyrrhenian Sea,,M,,N
4442,1943.07.18,18-Jul-43,1943,USA,"40 miles off Islamorada, near Cay Sal",,M,,Y
4443,1943.07.00.b,Jul-43,1943,PORTUGAL,Sines,Fishing/Spearfishing,Unknown,,N
4444,1943.07.00.a,Jul-43,1943,MEXICO,"Villa del Mar Beach, Veracruz",Swimming/Surfing/Boogie Boarding,M,68,N
4445,1943.06.16,16-Jun-43,1943,AUSTRALIA,Triabunna,,M,18,N
4446,1943.05.27,27-May-43,1943,PACIFIC OCEAN,,,M,,N
4447,1943.05.17.b,17-May-43,1943,CENTRAL PACIFIC,68 miles east of Wallis Island,,M,26,N
4448,1943.05.17.a,17-May-43,1943,CENTRAL PACIFIC,68 miles east of Wallis Island,,M,,Y
4449,1943.05.14,14-May-43,1943,AUSTRALIA,Off Brisbane,,M,F,Y
4450,1943.05.01.R,Reported 01-May-1943,1943,INDIAN OCEAN,,,M,,N
4451,1943.04.05,05-Apr-43,1943,USA,"3 miles from shore off McGregor Point, Maui",,M,,Y
4452,1943.03.21,21-Mar-43,1943,SOUTH AFRICA,"North Beach, Durban",Swimming/Surfing/Boogie Boarding,M,31,Y
4453,1943.03.14,14-Mar-43,1943,SIERRA LEONE,,,Unknown,,Y
4454,1943.03.02.b,02-Mar-43,1943,BRAZIL,Near the Abrolhos Archipelago ,,Unknown,,Y
4455,1943.03.02.a,02-Mar-1943 to 07-Mar-1943,1943,PAPUA NEW GUINEA, Huon Gulf,,Unknown,,Y
4456,1943.01.26,26-Jan-43,1943,PACIFIC OCEAN,,,M,,Y
4457,1943.00.00.f,Summer 1943,1943,MEXICO,"Villa del Mar Beach, Veracruz",Swimming/Surfing/Boogie Boarding,Unknown,,Y
4458,1943.00.00.e,1943,1943,SOLOMON ISLANDS,Guadalcanal,Swimming/Surfing/Boogie Boarding,M,,N
4459,1943.00.00.d,1943,1943,IRAQ,River Tigris,Swimming/Surfing/Boogie Boarding,M,22,N
4460,1943.00.00.c,Fall 1943,1943,USA,"Midway Island, Northwestern Hawaiian Islands",Fishing/Spearfishing,M,,N
4461,1943.00.00.b,Fall 1943,1943,USA,"Midway Island, Northwestern Hawaiian Islands",Fishing/Spearfishing,M,,N
4462,1943.00.00.a,1943,1943,USA,"Midway, Northwestern Hawaiian Islands",,M,,U
4463,1942.12.26,26-Dec-42,1942,AUSTRALIA,"Bantry Bay, near Ironstone Point, Middle Harbor, Sydney",,F,15,Y
4464,1942.11.28,28-Nov-42,1942,SOUTH AFRICA,50 km off St. Lucia,,M,,Y
4465,1942.11.25,25-Nov-42,1942,SOUTH AFRICA,Umkomaas,Swimming/Surfing/Boogie Boarding,M,38,N
4466,1942.11.16,16-Nov-42,1942,SOLOMON ISLANDS,Battle of Guadalcanal,,M,19,N
4467,1942.11.21,21-Nov-42,1942,INDIAN OCEAN,Bound from Cape Town for St. Helena,,M,,Y
4468,1942.11.13.c,13-Nov-42,1942,SOLOMON ISLANDS,Off Guadalcanal,,M,,N
4469,1942.11.13.b,13-Nov-42,1942,SOLOMON ISLANDS / VANUATU,"North of Guadalcanal, Solomon Islands while enroute to Vanuatu",,M,,Y
4470,1942.11.13.a,12-Nov-42,1942,SOLOMON ISLANDS,Off Savo Island,,M,,Y
4471,1942.11.01,01-Nov-42,1942,SOUTH AFRICA,Clifton,Swimming/Surfing/Boogie Boarding,M,18,Y
4472,1942.11.00.b,Nov-42,1942,PACIFIC OCEAN,,,M,,N
4473,1942.11.00.a,Nov-42,1942,UNKNOWN,,,M,,Y
4474,1942.10.12,12-Oct-42,1942,SOLOMON ISLANDS,Cape Esperance (near Savo Islands),,M,25,N
4475,1942.09.30,30-Sep-42,1942,ATLANTIC OCEAN,,,Unknown,,N
4476,1942.09.12.b,12-Sep-42,1942,ATLANTIC OCEAN,360 miles north of Ascension Island,,M,,N
4477,1942.09.12.a,12-Sep-42,1942,AUSTRALIA,"Trinity Beach, 17 km northwast of Cairns",Standing/Wading/Walking,M,24,N
4478,1942.09.11,11-Sep-1942 to 16-Sep-1942,1942,SOUTHWEST PACIFIC OCEAN,Southwestern Pacific Base,,M,,Y
4479,1942.08.08,08-Aug-42,1942,SOLOMON ISLANDS,,,M,,N
4480,1942.07.12,12-Jul-42,1942,ATLANTIC OCEAN,,,M,32,Y
4481,1942.07.06,06-Jul-42,1942,ITALY,Savona,,M,20,N
4482,1942.06.11.R,Reported 11-Jun-1942,1942,BAY OF BENGAL,,,M,,Y
4483,1942.06.08.R,Reported 08-Jun-1942,1942,BRAZIL,,,M,,Y
4484,1942.06.04,04-Jun-42,1942,USA,,,M,,N
4485,1942.06.00,Jun-42,1942,UNKNOWN,,,M,,N
4486,1942.05.09,09-May-42,1942,AUSTRALIA,"Great Barrier Reef, off Cairns",,M,,N
4487,1942.04.05,05-Apr-42,1942,INDIAN OCEAN,300 nm from shore,,Unknown,,Y
4488,1942.03.08,08-Mar-42,1942,CUBA,30 nm southeast of Guantanamo Bay,,M,,Y
4489,1942.03.04,04-Mar-42,1942,AUSTRALIA,Georges River,,M,18,Y
4490,1942.01.18,18-Jan-42,1942,AUSTRALIA,Fairy Bower,,Unknown,,N
4491,1942.01.04,04-Jan-42,1942,AUSTRALIA,"Egg Rock, Middle Harbor, Sydney",Swimming/Surfing/Boogie Boarding,F,28,Y
4492,1942.01.00,Jan-42,1942,AUSTRALIA,"Fairy Bower, near North Steyne",Kayaking/Canoeing/Rowing,M,,N
4493,1942.00.00.k,1942,1942,INDONESIA,Surabaya,,M,,Y
4494,1942.00.00.j,Winter 1942,1942,AUSTRALIA,Off Big Friar Island,,M,,N
4495,1942.00.00.i,Summer 1942,1942,PHILIPPINES,2 kilometres off Sagay,,M,,Y
4496,1942.00.00.h,1942,1942,SOUTH AFRICA,Simons Bay,,Unknown,,N
4497,1942.00.00.g,1942,1942,SOUTH AFRICA,Simon's Bay,,Unknown,,N
4498,1942.00.00.f,1942,1942,BAHAMAS,Anchored off the largest island in the group,,M,48,N
4499,1942.00.00.e,1942,1942,UNKNOWN,,,M,,Y
4500,1942.00.00.d,1942,1942,MID-PACIFC OCEAN,,,M,,N
4501,1942.00.00.c,1942,1942,SOUTHWEST PACIFIC OCEAN,,,M,,N
4502,1942.00.00.b,1942,1942,UNKNOWN,,,M,,N
4503,1942.00.00.a,1942,1942,PANAMA,Bella Vista Beach,Swimming/Surfing/Boogie Boarding,M,,Y
4504,1941.12.07,07-Dec-41,1941,SOUTH ATLANTIC OCEAN,,,Unknown,,Y
4505,1941.12.03,03-Dec-41,1941,AUSTRALIA,Carnarvon,Swimming/Surfing/Boogie Boarding,M,10,N
4506,1941.11.27.b,27-Nov-41,1941,SOUTH ATLANTIC OCEAN,,,M,23,N
4507,1941.11.27.a,27-Nov-41,1941,SOUTH ATLANTIC OCEAN,,,M,,N
4508,1941.11.24,25-Nov-41,1941,SOUTH ATLANTIC OCEAN,,,Unknown,,Y
4509,1941.11.19,19-Nov-41,1941,AUSTRALIA,Shark Bay,,M,,N
4510,1941.09.25,25-Sep-41,1941,CARIBBEAN SEA,125 nm north of Aruba,,M,,Y
4511,1941.08.21.R,Reported 21-Aug-1941,1941,USA,Montauk,Fishing/Spearfishing,Unknown,,N
4512,1941.08.05,05-Aug-41,1941,AUSTRALIA,Parramata River,Swimming/Surfing/Boogie Boarding,M,,Y
4513,1941.08.01,01-Aug-41,1941,USA,Sullivan's Island at entrance to Charleston Harbor,,M,20,N
4514,1941.07.22,22-Jul-41,1941,USA,"Brielle, Monmouth County (Offshore)",,Unknown,,N
4515,1941.07.01,01-Jul-41,1941,USA,"Nankuli, O'ahu",Fishing/Spearfishing,M,,N
4516,1941.06.15,15-Jun-41,1941,USA,15 miles south of Jones Inlet,,M,43,N
4517,1941.06.00,Jun-41,1941,PACIFIC OCEAN,Between Esmeraldas & Salinas,,M,,Y
4518,1941.03.24,24-Mar-41,1941,SOUTH ATLANTIC OCEAN,750 miles off the African coast,,M,,N
4519,1941.03.09,09-Mar-41,1941,USA,"Santa Monica, Los Angeles County",Fishing/Spearfishing,M,53,N
4520,1941.02.13.,13-Feb-41,1941,AUSTRALIA,Wollongong,Fishing/Spearfishing,M,34,N
4521,1941.02.01,01-Feb-41,1941,JAMAICA,Bogue (near Falmouth),,M,,N
4522,1941.01.29,29-Jan-41,1941,SOUTH ATLANTIC OCEAN,Off Sierra Leone,,M,19,N
4523,1941.01.00,Jan-41,1941,ATLANTIC OCEAN,,,M,,Y
4524,1941.00.00.h,1941,1941,SOLOMON ISLANDS,Munda,Standing/Wading/Walking,M,,N
4525,1941.00.00.f,1941,1941,IRAN,"Ahvaz, on the Karun River",Standing/Wading/Walking,M,,Y
4526,1941.00.00.e,1941,1941,IRAN,"Ahvaz, on the Karun River",,M,,Y
4527,1941.00.00.d,1941,1941,IRAN,"Ahvaz, on the Karun River",,M,,N
4528,1941.00.00.c,1941,1941,IRAN,"Ahvaz, on the Karun River",,M,6,Y
4529,1941.00.00.b,1941,1941,IRAN,"Ahvaz, on the Karun River",Standing/Wading/Walking,M,,Y
4530,1941.00.00.a,1941,1941,PAPUA NEW GUINEA,"Gaire Village, between Rigo & Port Moresby",,M,14,N
4531,1940.12.28,28-Dec-40,1940,AUSTRALIA,"Stockton Beach, Newcastle",,M,23,Y
4532,1940.12.20,20-Dec-40,1940,SOUTH AFRICA,"Inyoni Rocks, South Coast",Swimming/Surfing/Boogie Boarding,M,17,Y
4533,1940.12.19.R,Reported 19-Dec-1940,1940,AUSTRALIA,Double Island Beach,Fishing/Spearfishing,M,,N
4534,1940.12.10,10-Dec-40,1940,AUSTRALIA,Darwin,,M,,N
4535,1940.09.00,Sep-40,1940,PANAMA,Otoque Island,Standing/Wading/Walking,M,18,Y
4536,1940.07.13.b,13-Jul-40,1940,USA,"Folly Beach, Charleston County",Standing/Wading/Walking,M,,N
4537,1940.07.13.a,13-Jul-40,1940,USA,"Folly Beach, Charleston County",,M,,N
4538,1940.06.30,30-Jun-40,1940,USA,"Holden Beach, Brunswick County",Fishing/Spearfishing,M,,N
4539,1940.03.31,31-Mar-40,1940,SOUTH AFRICA,"Danger Pool, Winkelspruit, South Coast",Standing/Wading/Walking,M,25,Y
4540,1940.03.20,20-Mar-40,1940,AUSTRALIA,Gerringong,,M,,N
4541,1940.02.22,22-Feb-40,1940,SOUTH AFRICA,"Inyoni Rocks, South Coast",Swimming/Surfing/Boogie Boarding,M,17,Y
4542,1940.02.20,20-Feb-40,1940,AUSTRALIA,Sydney Harbour,Kayaking/Canoeing/Rowing,Unknown,,N
4543,1940.02.04,04-Feb-40,1940,AUSTRALIA,"North Brighton, Botany Bay",Standing/Wading/Walking,M,55,Y
4544,1940.01.29,29-Jan-40,1940,AUSTRALIA,Brisbane River,,M,17,N
4545,1940.01.23,23-Jan-40,1940,AUSTRALIA,"North Brighton, Botany Bay",Swimming/Surfing/Boogie Boarding,M,13,Y
4546,1940.01.15,15-Jan-40,1940,AUSTRALIA,"Surfers Paradise, near Southport",Swimming/Surfing/Boogie Boarding,M,22,N
4547,1940.01.07,07-Jan-40,1940,SOUTH AFRICA,"Warner Beach, South Coast",Swimming/Surfing/Boogie Boarding,M,18,Y
4548,1940.01.01,01-Jan-40,1940,AUSTRALIA,"Malagil, Barrier Reef",Diving/Scuba Diving/Freediving,M,,N
4549,1940.00.00.f,Ca. 1940,1940,SLOVENIA,Koper,Kayaking/Canoeing/Rowing,Unknown,,N
4550,1940.00.00.e,1940,1940,PAPUA NEW GUINEA,"Bagalina, North coast Misima Island",,F,,Y
4551,1940.00.00.d,1940,1940,PAPUA NEW GUINEA,Kerema ,,Unknown,,N
4552,1940.00.00.c,1940,1940,SOUTH AFRICA,Kidd's Beach,Swimming/Surfing/Boogie Boarding,Unknown,,U
4553,1940.00.00.b,1940,1940,SOUTH AFRICA,Winkelspruit,,F,,Y
4554,1940.00.00.a,1940,1940,SOUTH AFRICA,"Kowie River Mouth, Port Alfred",,F,,N
4555,1939.12.28,28-Dec-39,1939,AUSTRALIA,"Cabramatta Creek, Georges River ",Swimming/Surfing/Boogie Boarding,M,40,N
4556,1939.12.14,14-Dec-39,1939,AUSTRALIA,"Rubbish Dump Creek, Mackay",Swimming/Surfing/Boogie Boarding,M,20,Y
4557,1939.11.23,23-Nov-39,1939,AUSTRALIA,Wollongong,,Unknown,,N
4558,1939.11.11,11-Nov-39,1939,AUSTRALIA,Maroubra,,Unknown,,N
4559,1939.11.09,09-Nov-39,1939,AUSTRALIA,Wollongong,,Unknown,,U
4560,1939.11.06,06-Nov-39,1939,AUSTRALIA,Wollongong,,Unknown,,U
4561,1939.11.02.R,Reported 02-Nov-1939,1939,SAMOA,,Fishing/Spearfishing,M,,Y
4562,1939.10.25.R,Reported 25-Oct-1939,1939,AUSTRALIA,Near Restoration Rock off Portland Roads ,,M,27,N
4563,1939.10.04,04-Oct-39,1939,USA,"Kane'ohe Bay, Mokapu, O'ahu",,M,,N
4564,1939.09.27.R,Reported 27-Sep-1939,1939,AUSTRALIA,Near Mabuiag Island,Diving/Scuba Diving/Freediving,M,,N
4565,1939.08.01,01-Aug-39,1939,USA,"Off San Pedro, Los Angeles County",Fishing/Spearfishing,M,33,N
4566,1939.07.18,18-Jul-39,1939,PACIFIC OCEAN,,,Unknown,3,Y
4567,1939.07.16,16-Jul-39,1939,BAHAMAS,Blue Hole,,M,38,N
4568,1939.07.14,14-Jul-39,1939,USA,"West Bay, 19 miles from Galveston",,M,,N
4569,1939.05.03,03-May-39,1939,USA,"At sea, several hundred miles south east of Cape Henry, Virginia",,M,,Y
4570,1939.04.12.R,12-Apr-39,1939,PAPUA NEW GUINEA,Bulolol,,M,9,Y
4571,1939.03.24,24-Mar-39,1939,PAPUA NEW GUINEA,Port Moresby,,M,,Y
4572,1939.02.26,26-Feb-39,1939,NEW ZEALAND,Matakana River Mouth,Fishing/Spearfishing,M,,N
4573,1939.01.12,12-Jan-39,1939,AUSTRALIA,Clarence River,,M,Both 11,N
4574,1939.00.00.e,Woirld War II,1939,SRI LANKA,,,F,,N
4575,1939.00.00.d,Ca. 1939,1939,BAHAMAS,Middle Bight,Fishing/Spearfishing,Unknown,,N
4576,1939.00.00.c,1939,1939,VENEZUELA,"El Falito, near Puerto Cabello",Standing/Wading/Walking,M,,Y
4577,1939.00.00.b,1939,1939,CURACAO,,Diving/Scuba Diving/Freediving,M,,N
4578,1939.00.00.a,1939,1939,PAPUA NEW GUINEA,Aroma Passage,,M,,Y
4579,1938.12.27,27-Dec-38,1938,AUSTRALIA,"North Beach, Belligen River",Swimming/Surfing/Boogie Boarding,M,19,Y
4580,1938.10.05,05-Oct-38,1938,AUSTRALIA,Between Wynnum & St. Helena Island,Fishing/Spearfishing,M,18,N
4581,1938.08.29,29-Aug-38,1938,CHINA,"Outer harbor, Hong Kong",,M,,Y
4582,1938.08.18,18-Aug-38,1938,USA,"Near Encino, Los Angeles County",Fishing/Spearfishing,M,,N
4583,1938.07.18,18-Jul-38,1938,USA,Charleston,Swimming/Surfing/Boogie Boarding,M,,N
4584,1938.07.17.R,Reported 17-Jul-1938,1938,TURKEY,,Fishing/Spearfishing,M,,N
4585,1938.07.17,17-Jul-38,1938,USA,"Dana Point, Orange County",,M,27,N
4586,1938.07.12,12-Jul-38,1938,AUSTRALIA,Off Bathurst Island,,M,25,Y
4587,1938.06.17,17-Jun-38,1938,NICARAGUA,,,Unknown,,Y
4588,1938.06.08,08-Jun-38,1938,AUSTRALIA,Manly,,M,,N
4589,1938.05.26,26-May-38,1938,COSTA RICA,,Fishing/Spearfishing,M,,Y
4590,1938.05.15,15-May-38,1938,IRAQ,"Ashar Canal, where people wash clothes & kitchen pans",,M,9 or 10,N
4591,1938.05.02.R,Reported 02-May-1938,1938,INDIA,Hooghley River near Budge-Budge,Standing/Wading/Walking,Unknown,,Y
4592,1938.03.21.R,Reported 21-Mar-1938,1938,FIJI,Singatoka River,Standing/Wading/Walking,M,,N
4593,1938.03.08,08-Mar-38,1938,AUSTRALIA,Liverpool River,,M,,N
4594,1938.01.21,21-Jan-38,1938,AUSTRALIA,Tweed Heads,Fishing/Spearfishing,M,,N
4595,1938.01.18,18-Jan-38,1938,SOUTH AFRICA,"Vetchs Pier, Durban",,M,13,N
4596,1938.01.14,14-Jan-38,1938,AUSTRALIA,"Lady Martins Beach, Sydney Harbor",,M,24,N
4597,1938.01.02,02-Jan-38,1938,AUSTRALIA,Cronulla,Kayaking/Canoeing/Rowing,M,,N
4598,1938.00.00.e.R,Reported 1938,1938,EGYPT,Mersa Matruh,Diving/Scuba Diving/Freediving,M,,Y
4599,1938.00.00.d,1938,1938,TRINIDAD & TOBAGO,"Manzanilla Bay, St. Andrew County",Swimming/Surfing/Boogie Boarding,M,50,N
4600,1938.00.00.c,1938,1938,USA,On one of the sounds near Wilmington,Fishing/Spearfishing,M,,N
4601,1938.00.00.b,1938,1938,AUSTRALIA,,Diving/Scuba Diving/Freediving,M,17,N
4602,1938.00.00.a,1938,1938,SOUTH AFRICA,"Bilanhlolo River Mouth, Ramsgate",Swimming/Surfing/Boogie Boarding,M,,N
4603,1937.11.13,13-Nov-37,1937,USA,Off Cape Hatteraa,,M,,Y
4604,1937.11.11,11-Nov-37,1937,AUSTRALIA,Ota Reef,Diving/Scuba Diving/Freediving,M,17,Y
4605,1937.11.06.R,Reported 06-Nov-1937,1937,SOLOMON ISLANDS,,,M,,Y
4606,1937.10.27.b,27-Oct-37,1937,AUSTRALIA,"Kirra Beach, Coolangatta",Swimming/Surfing/Boogie Boarding,M,25,Y
4607,1937.10.27.a,27-Oct-37,1937,AUSTRALIA,"Kirra Beach, Coolangatta",Swimming/Surfing/Boogie Boarding,M,18,Y
4608,1937.10.24.c,24-Oct-37,1937,AUSTRALIA,Byron Bay ,,M,16,N
4609,1937.10.24.a,24-Oct-37,1937,AUSTRALIA,Byron Bay ,Kayaking/Canoeing/Rowing,M,,N
4610,1937.09.26.R,Reported 26-Sep-t937,1937,CROATIA,Bisk,Fishing/Spearfishing,M,,N
4611,1937.09.12,12-Sep-37,1937,UNITED KINGDOM,Arran,,Unknown,,N
4612,1937.09.11,11-Sep-37,1937,UNITED KINGDOM,Fallen Rocks,Fishing/Spearfishing,Unknown,,N
4613,1937.09.01,01-Sep-37,1937,UNITED KINGDOM,"Carradale Bay, Kintyre Peninsula",Kayaking/Canoeing/Rowing,M,,N
4614,1937.08.31,31-Aug-37,1937,AUSTRALIA,"Mabuiag Island, between New Guinea & Australia",,M,38,N
4615,1937.08.16,16-Aug-37,1937,TURKEY,Istanbul,Swimming/Surfing/Boogie Boarding,M,,N
4616,1937.08.02,02-Aug-37,1937,PANAMA,Limon Bay,Swimming/Surfing/Boogie Boarding,M,21,Y
4617,1937.07.16.R,Reported 16-Jul-1937,1937,AUSTRALIA,Elcho Island,Diving/Scuba Diving/Freediving,M,,Y
4618,1937.07.06,07-Jul-37,1937,ITALY,Borgeo Verezzi,,Unknown,,N
4619,1937.06.28.R,Reported 28-Jun-1937,1937,GREECE,Salonika?,,Unknown,,Y
4620,1937.06.15.b,15-Jun-37,1937,AUSTRALIA,"Wallamba River, near entrance to Wallis Lake",,M,,N
4621,1937.06.15,    15-Jun-1937,1937,USA,Galveston,Swimming/Surfing/Boogie Boarding,M,14,Y
4622,1937.05.30,30-May-37,1937,USA,Galveston,Fishing/Spearfishing,M,,N
4623,1937.05.15,15-May-37,1937,AUSTRALIA,"Ross River, Townsville",,M,33,Y
4624,1937.03.26,26-Mar-37,1937,AUSTRALIA,South Cronulla,Standing/Wading/Walking,M,16,N
4625,1937.03.09,09-Mar-37,1937,AUSTRALIA,Port Melbourne,Swimming/Surfing/Boogie Boarding,M,43,Y
4626,1937.02.13,13-Feb-37,1937,AUSTRALIA,"Bar Beach, Newcastle",Swimming/Surfing/Boogie Boarding,M,32,Y
4627,1937.02.11,11-Feb-37,1937,AUSTRALIA,Kempsey,,Unknown,,N
4628,1937.02.04,04-Feb-37,1937,AUSTRALIA, Botany Bay ,Fishing/Spearfishing,Unknown,,N
4629,1937.02.03,03-Feb-37,1937,AUSTRALIA,Moreton Island,Fishing/Spearfishing,M,20,N
4630,1937.02.02,1937,1937,AUSTRALIA,Port Germein,,M,,Y
4631,1937.01.27,27-Jan-37,1937,AUSTRALIA,"Lake Conjola, near Milton",,M,18,N
4632,1937.00.00,1937,1937,AUSTRALIA,,,M,,N
4633,1936.12.30,30-Dec-36,1936,USA,"Honokohau, Maui",,M,,N
4634,1936.12.19,19-Dec-36,1936,AUSTRALIA,Brisbane River,,Unknown,,N
4635,1936.12.15,15-Dec-36,1936,AUSTRALIA,Newcastle Harbor,,Unknown,,N
4636,1936.12.12,12-Dec-36,1936,AUSTRALIA,"Throsby Creek, Newcastle",Swimming/Surfing/Boogie Boarding,M,15,Y
4637,1936.12.01,01-Dec-36,1936,AUSTRALIA,Mordialloc,Fishing/Spearfishing,M,50,Y
4638,1936.11.27,27-Nov-36,1936,AUSTRALIA,Near Thursday Island,Fishing/Spearfishing,M,,N
4639,1936.09.04,04-Sep-36,1936,USA,"Lahaina, Maui",Swimming/Surfing/Boogie Boarding,M,,N
4640,1936.08.24,24-Aug-36,1936,AUSTRALIA,Near Mabuiag Island,,M,,N
4641,1936.08.11,11-Aug-36,1936,CANADA,Georges Bank,,Unknown,,N
4642,1936.08.04,Reported 04-Aug-1936,1936,AUSTRALIA,Bathurst Island,Diving/Scuba Diving/Freediving,M,,N
4643,1936.08.00,Aug-36,1936,USA,"Pamlico Sound off Frisco, Dare County",Fishing/Spearfishing,M,13,N
4644,1936.07.25,25-Jul-36,1936,USA,"Hollywood Beach, just above Mattapoisett Harbor, Buzzards Bay",,M,16,Y
4645,1936.07.12,12-Jul-36,1936,USA,"Long Branch, Monmouth County (offshore)",,Unknown,,N
4646,1936.07.07,07-Jul-36,1936,AUSTRALIA,Off Nepean Island,Diving/Scuba Diving/Freediving,M,,N
4647,1936.07.00,Jul-36,1936,SOUTH AFRICA,Cape Point,,Unknown,,N
4648,1936.06.26,26-Jun-36,1936,AUSTRALIA,Nepean Island,,M,16,Y
4649,1936.06.06,06-Jun-36,1936,USA,"Boca Ciega Bay, Pinellas County",Swimming/Surfing/Boogie Boarding,M,,Y
4650,1936.04.22,22-Apr-36,1936,AUSTRALIA,Arlington Reef near Cairns,Diving/Scuba Diving/Freediving,M,16,N
4651,1936.04.08,08-Ap-1936,1936,AUSTRALIA,Arlington Reef near Cairns,Diving/Scuba Diving/Freediving,Unknown,,N
4652,1936.03.30,30-Mar-36,1936,USA,"Miami, Miami-Date County",Fishing/Spearfishing,M,,N
4653,1936.03.22,12-Mar-36,1936,AUSTRALIA,"Near Shelburne Bay, Queenland",,M,,N
4654,1936.03.19,19-Mar-36,1936,AUSTRALIA,"Near Forbes Island, Barrier Reef",Diving/Scuba Diving/Freediving,M,,N
4655,1936.03.04.,04-Mar-36,1936,AUSTRALIA,Between Cape Hotham & Darwin (50 miles from Darwin),,Unknown,,N
4656,1936.02.23,23-Feb-36,1936,AUSTRALIA,"Angourie, near Yamba",,F,young,N
4657,1936.02.20..R,Reported 20-Feb-1936,1936,AUSTRALIA,Brisbane River,,M,,N
4658,1936.02.04,04-Feb-36,1936,AUSTRALIA,"South Steyne, Manly",Swimming/Surfing/Boogie Boarding,M,14,Y
4659,1936.01.22,22-Jan-36,1936,AUSTRALIA,"West Beach, near Adelaide",,M,13,Y
4660,1936.01.05,05-Jan-36,1936,AUSTRALIA,"Main Beach, Southport",Swimming/Surfing/Boogie Boarding,M,17,N
4661,1936.01.00,Jan-36,1936,AUSTRALIA,North Bondi,,M,,N
4662,1936.00.00,1936,1936,AUSTRALIA,"Port Phillip Bay, Port Melbourne",Swimming/Surfing/Boogie Boarding,M,,Y
4663,1935.12.23,23-Dec-35,1935,AUSTRALIA,150 yards from the pier at Lorne,,Unknown,,N
4664,1935.11.13,13-Nov-35,1935,AUSTRALIA,Barrier Reef near Innisfail,,M,20,N
4665,1935.09.21,21-Sep-35,1935,USA,"Browns Inlet on New River, Onslow Beach",Swimming/Surfing/Boogie Boarding,M,38,Y
4666,1935.09.04.R,Reported 04-Sep-1935,1935,PAPUA NEW GUINEA,Hula,Swimming/Surfing/Boogie Boarding,M,,Y
4667,1935.08.26,26-Aug-35,1935,AUSTRALIA,"At Flat Top, near Mackay",,M,38,Y
4668,1935.08.24,24-Aug-35,1935,UNITED KINGDOM,Atherfield,Fishing/Spearfishing,M,,N
4669,1935.08.13,13-Aug-35,1935,AUSTRALIA,"Near Warrior Reefs, Queensland",,M,,Y
4670,1935.07.27.b,27-Jul-35,1935,USA,Santa Barbara Channel,,M,23,Y
4671,1935.07.27.a,27-Jul-35,1935,USA,Santa Barbara Channel,,M,53,Y
4672,1935.07.05,05-Jul-35,1935,PANAMA,off Culebra,,M,14,Y
4673,1935.07.01,01-Jul-35,1935,CROATIA,"Susak / Fiume (Rijeka, Istria)",Swimming/Surfing/Boogie Boarding,F,22,Y
4674,1935.06.18,18-Jun-35,1935,USA,50 miles offshore,,M,31,N
4675,1935.06.05.R,Reported 05-Jun-1935,1935,SOLOMON ISLANDS,Makira Island,Fishing/Spearfishing,M,,Y
4676,1935.06.00.b,Jun-35,1935,AUSTRALIA,Off Port Broughton,,Unknown,,N
4677,1935.06.00.a,Jun-35,1935,PAPUA NEW GUINEA,"Dobu Passage,  D'Entrecasteaux Islands (between Normanby & Fergusson Islands)",,Unknown,,N
4678,1935.05.19,19-May-35,1935,SOUTH AFRICA,"North Pier, Durban",,M,,N
4679,1935.05.12,12-May-35,1935,AUSTRALIA,On edge of reef near Warrior Island,Diving/Scuba Diving/Freediving,M,,N
4680,1935.04.25,25-Apr-35,1935,AUSTRALIA,Coogee,,M,40,N
4681,1935.04.12.R,Reported 12-Apr-1935,1935,UNKNOWN,,Diving/Scuba Diving/Freediving,F,,N
4682,1935.04.08.R,Reported 08-Apr-1935,1935,USA,"Hermosa Beach, Los Angeles County",,M,,N
4683,1935.03.30,30-Mar-35,1935,AUSTRALIA,Barrier Reef off Mackay,,M,,N
4684,1935.03.25.R,Reported 25-Mar-1935,1935,SOUTH AFRICA,"North Pier, Durban",,M,,N
4685,1935.03.20,20-Mar-35,1935,AUSTRALIA,Three Mile Reef off Lizard Island 50 miles north of Cooktown,,M,,N
4686,1935.03.13,13-Mar-35,1935,AUSTRALIA,Pimpana River,,M,38,N
4687,1935.03.11,11-Mar-35,1935,AUSTRALIA,Newcastle,Swimming/Surfing/Boogie Boarding,M,,N
4688,1935.03.09,09-Mar-35,1935,AUSTRALIA,Maroubra Beach,Swimming/Surfing/Boogie Boarding,M,27,Y
4689,1935.03.02,02-Mar-35,1935,AUSTRALIA,North Narrabeen Beach,Standing/Wading/Walking,M,22,Y
